"","IO","Year","Decade","TALK.Part","TALK.Trans","DEC.Part","DEC.Trans","ACT.Part.1","ACT.Part.2","ACT.Part.3","ACT.Part.4","ACT.Trans.1","RB.Budget.All","RB.Budget.Staff","RB.Inequality","RB.Complexity","NB.visibility.1","NB.visibility.2","NB.dem.mem","NB.gov.depth","NB.og.norm"
"48","IAEA",2004,"2000s",1,1,2,10,22,65,0,117,0.0405687681833065,298093838.352107,0.595334911572204,0.805100881748319,5,2350,0.0336170212765957,0.550387596899225,3,3.54392371226808
"49","IAEA",2005,"2000s",2,2,2,10,23,45,3,142,0.0399500220807617,302772010.305356,0.594267618832197,0.80542313883297,5,1708,0.025175644028103,0.553846153846154,3,3.72508740742461
"50","IAEA",2006,"2000s",5,2,2,10,20,46,1,130,0.0397315361890694,358599084.562003,0.578560561299852,0.809667014239713,5,2668,0.0172413793103448,0.567164179104478,3,4.14502636880697
"51","IAEA",2007,"2000s",2,0,2,11,NA,NA,NA,182,0.0395280372500997,395530791.596034,0.576606908925215,0.810554561585046,5,2108,0.0308349146110057,0.562962962962963,3,4.45947028193672
"52","IAEA",2008,"2000s",1,2,2,11,21,49,4,125,0.0429173822765718,428080792.298763,0.618726148158985,0.809879572536654,5,1272,0.0338050314465409,0.566176470588235,3,3.88348182056574
"53","IAEA",2009,"2000s",2,1,2,11,27,61,2,183,0.0422190895002461,409779206.9888,0.613013359417394,0.815849707910562,5,1312,0.0457317073170732,0.542253521126761,3,NA
"54","IAEA",2010,"2000s",2,0,2,12,26,80,3,173,0.0397732078644546,413233754.32285,0.612215571393501,0.816657513010895,5,1156,0.0311418685121107,0.535211267605634,3,NA
"55","IAEA",2011,"2010s",4,4,2,12,31,106,6,190,0.0394568403310019,432173522.006996,0.614052626355073,0.81788393129005,5,2153,0.0352995819786345,0.541666666666667,3,NA
"56","OPCW",1997,"1990s",0,0,1,1,24,35,24,10,0.0561020233184583,58287598.2495249,0.55678501425617,0.813323524028973,3,28,0,0.494845360824742,1,2.57486105326166
"57","OPCW",1998,"1990s",4,2,1,2,7,11,0,29,0.0583918691449392,89962409.2242059,0.533292612768738,0.821046103630546,3,20,0.05,0.47787610619469,1,2.54415356448767
"58","OPCW",1999,"1990s",4,2,1,3,7,13,1,43,0.0630789557743125,83083319.4797803,0.610043702993873,0.823033451361824,3,16,0,0.478632478632479,1,3.42097627115123
"59","OPCW",2000,"1990s",3,3,2,4,12,17,4,57,0.0615339024750965,67939338.6188958,0.633256958486909,0.824276642215554,3,17,0,0.468253968253968,1,4.00735899575011
"60","OPCW",2001,"2000s",2,1,2,4,9,12,0,38,0.0609030120321921,64405022.3718454,0.643257457037371,0.826663737432237,3,8,0,0.4609375,1,3.89567238689991
"61","OPCW",2002,"2000s",1,2,2,5,6,10,0,36,0.0629749114359804,68854453.1238978,0.655117014302645,0.827482710659657,3,43,0,0.5,1,3.78523891786387
"62","OPCW",2003,"2000s",2,4,3,6,8,11,4,38,0.0638784208956188,89400404.7527492,0.693190562963685,0.829637817902868,3,34,0.0294117647058824,0.5,1,3.88495005276823
"63","OPCW",2004,"2000s",2,0,3,6,13,22,6,80,0.0736678641960407,102090721.425526,0.736282064303514,0.833413369539399,3,30,0,0.514285714285714,1,3.54392371226808
"64","OPCW",2005,"2000s",0,1,3,6,14,36,4,55,0.0758724882753154,102371046.624126,0.737563603936852,0.838242642522073,3,19,0,0.506944444444444,1,3.72508740742461
"65","OPCW",2006,"2000s",1,0,3,6,8,19,1,65,0.0732080217534684,100129976.375372,0.728268951347406,0.842512550489674,3,13,0,0.52317880794702,1,4.14502636880697
"66","OPCW",2007,"2000s",2,1,3,6,3,4,0,54,0.0741198711892934,105638045.662403,0.729252613545981,0.84299882627869,3,13,0,0.516556291390728,1,4.45947028193672
"67","OPCW",2008,"2000s",3,1,3,7,8,9,3,47,0.0662405382131949,111197397.685517,0.720363962050675,0.843750240821423,3,12,0,0.519480519480519,1,3.88348182056574
"68","OPCW",2009,"2000s",2,2,3,7,28,38,17,60,0.071423202272227,103912042.08,0.720132725544835,0.84442722188328,3,4,0,0.512820512820513,1,NA
"69","OPCW",2010,"2000s",6,1,3,8,16,40,4,73,0.0706069627167964,97589993.9532264,0.714350906108819,0.845120624598574,3,3,0,0.506410256410256,1,NA
"70","OPCW",2011,"2010s",5,4,3,8,28,68,11,69,0.067474944201219,100561644.201979,0.713243894325693,0.84503780872978,3,21,0,0.509433962264151,1,NA
