VariableCode,RegionCode,YearCode,AggValue
rgdpna,BDI,1966,1361.54787794216000000
rgdpna,BDI,1967,1554.63771539377000000
rgdpna,BDI,1968,1549.71851434648000000
rgdpna,BDI,1969,1521.54371560067000000
rgdpna,BDI,1970,1873.54949532021000000
rgdpna,BDI,1971,1934.40249677985000000
rgdpna,BDI,1972,1818.70209877788000000
rgdpna,BDI,1973,1944.22208775269000000
rgdpna,BDI,1974,1933.91863287635000000
rgdpna,BDI,1975,1934.31710903251000000
rgdpna,BDI,1976,2135.43371721935000000
rgdpna,BDI,1977,2328.66619004452000000
rgdpna,BDI,1978,2442.08958144310000000
rgdpna,BDI,1979,2481.85180924368000000
rgdpna,BDI,1980,2436.59630301556000000
rgdpna,BDI,1981,2702.49374905118000000
rgdpna,BDI,1982,2690.85255279219000000
rgdpna,BDI,1983,2774.50408286057000000
rgdpna,BDI,1984,2771.74321235654000000
rgdpna,BDI,1985,3095.64740159755000000
rgdpna,BDI,1986,3213.88096944494000000
rgdpna,BDI,1987,3345.46348850100000000
rgdpna,BDI,1988,3509.13925104662000000
rgdpna,BDI,1989,3561.19303797441000000
rgdpna,BDI,1990,3685.82846032491000000
rgdpna,BDI,1991,3882.41212024672000000
rgdpna,BDI,1992,3952.51774589548000000
rgdpna,BDI,1993,3674.71520714077000000
rgdpna,BDI,1994,3561.36578284089000000
rgdpna,BDI,1995,3311.31758623354000000
rgdpna,BDI,1996,3026.28855383213000000
rgdpna,BDI,1997,3037.77608756080000000
rgdpna,BDI,1998,3174.15816094400000000
rgdpna,BDI,1999,3142.43068683311000000
rgdpna,BDI,2000,3114.12931927187000000
rgdpna,BDI,2001,3179.54204266815000000
rgdpna,BDI,2002,3322.60358428417000000
rgdpna,BDI,2003,3282.72831055958000000
rgdpna,BDI,2004,3427.17181112180000000
rgdpna,BDI,2005,3458.01635742188000000
rgdpna,BDI,2006,3646.94771469824000000
rgdpna,COD,1992,15015.25661373860000000
rgdpna,COD,1993,12987.10488918610000000
rgdpna,COD,1994,12484.40061557900000000
rgdpna,COD,1995,12571.07376620100000000
