NGO;Acronym;Activities.Area;First Presence;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
THE SOVEREIGN MILITARY ORDER OF MALTA;SMOM;Social;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;4;4;4;;4;2;3;3
The U.S. Civilian Research & Development Foundation;;Science and Research;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
THE WORLD INSTITUTE FOR NUCLEAR SECURITY;WINS;Peace, Law and IR;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;16
TRADE UNIONS INTERNATIONAL OF WORKERS IN ENERGY;TUIWE;Professional Association;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;1;1;1;2;2;2;2;2;2;2;;;;;;;;;;;;;;
U.S. COUNCIL FOR ENERGY AWARENESS;USCEA;Peace, Law and IR;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;?;1;1;?;;;;;;;;;;;;;;;;;;
UNITED STATES ATOMIC INDUSTRIAL FORUM;;Industry;1976;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URANIUM INSTITUTE;;Industry;1979;;;;;;;;;;;;;;;;;;;;;;;1;3;;;1;1;1;2;1;1;2;1;1;1;1;1;2;2;1;1;1;3;;;;;;;;;;;
USSR NUCLEAR SOCIETY;USSR NS;Science and Research;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;
VERIFICATION RESEARCH, TRAINING AND INFORMATION CENTRE ;VERTIC;Peace, Law and IR;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;3;;2;3;6;7
WOMEN IN NUCLEAR EUROPE;;Peace, Law and IR;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
WORLD ASSOCIATION OF NUCLEAR OPERATORS;WANO;Industry;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;2;1;1;1;2;2;1;1;1;;;;;;;;1;1;3
WORLD CONFEDERATION OF LABOUR;WCL;Social;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;
WORLD COUNCIL OF NUCLEAR WORKERS;WONUC;Professional Association;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4;6;12;7;2;27;5;5;;8;6;11;13
WORLD ENERGY CONFERENCE (earlier: WORLD POWER CONFERENCE);;Peace, Law and IR;1958;;2;2;2;2;2;2;1;1;2;2;2;2;2;2;;;1;2;1;;;1;1;2;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
WORLD ENERGY COUNCIL;WEC;Peace, Law and IR;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;
WORLD FEDERATION FOR MENTAL HEALTH;;Health;1958;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WORLD FEDERATION OF NUCLEAR MEDICINE AND BIOLOGY;WFNMB;Science and Research;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
WORLD FEDERATION OF TRADE UNIONS;WFTU;Science and Research;1958;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WORLD FEDERATION OF UNITED NATIONS ASSOCIATIONS;WFUNA;Peace, Law and IR;1958;;2;1;1;1;2;;;;2;;1;;1;;1;;;;;;;;;;;;1;1;1;?;1;;;;1;?;;;;;;;;;;;;;;;;;;
WORLD NUCLEAR ASSOCIATION;WNA;Professional Association;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;1;2;5;;1;6;6;8
WORLD NUCLEAR TRANSPORT INSTITUTE;WNTI;Industry;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;2;3;2;2;2;3;;2;1;1;2
WORLD VETERANS' FEDERATION;WVF;Social;1958;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
